beer_image, beer_korname,beer_engname,beer_abv,beer_ibu,beer_srm,beer_kcal,nation_id,style_id,brewery_id,description,ounces
_hite.png, 하이트,Hite,4.3,-1,-1,36,korea,Pale Larger,,최상의 목넘김과 깔끔한 페일라거의 특징을 살린 엑스트라 콜드 공법으로 제작되었습니다.,
_max.png, 맥스,Max,4.5,-1,-1,40,korea,Malt Beer,,맥스 11년 내공으로 만들어진 깊고 풍부한 Cream 생 All Malt Beer입니다.,
_dryfinishd.png, 드라이 피니시 D,Dry Finish D,4.8,-1,-1,40,korea,North American Lager,,드라이공법으로 잔미를 제거하여 극대화된 시원함을 느낄 수 있습니다. 덴마크 덴부르사와의 5년간의 공동연구 2년 2개월여에 걸친 소비자 조사를 통해 맥주 맛을 완성하였습니다.,
_s.png, 에스,S,3.8,-1,-1,50,korea,Pale Larger,,식이섬유가 1.65g(330ml 기준) 함유되어 있어 몸매관리는 물론 웰빙까지 생각한 맥주입니다.,
_stout.png, 스타우트,Stout,5,-1,-1,40.9,korea,Lager,,독일산 흑맥아를 사용하여 더욱 풍부하고 진한 국내 유일의 라거타입 흑맥주입니다.,
_queensale.png, 퀸즈 에일,Queen's Ale,5.4,-1,-1,43,korea,Pale Ale,,맥주 맛이 가진 의미와 깊이를 이해하는 인생의 탐험가를 위하여 트리플 호핑과 풀바디감의 깊고 풍부한 정통 Premium Pale Ale 맥주입니다.,
_cassfresh.png, 카스 후레쉬,Cass Fresh,4.5,-1,-1,39.3,korea,North American Lager,,넌 파스트라이제이션 공법(NON-PASTEURIZATION)으로 맥주의 신선하고 톡 쏘는 맛을 더욱 느낄 수 있습니다.,
_casslight.png, 카스 라이트,Cass Light,4,-1,-1,27,korea,North American Lager,,국내 유일 빙점숙성으로 맛은 더욱 상쾌해지고 칼로리는 1/3 줄였습니다.,
_cassred.png, 카스 레드,Cass Red,6.9,-1,-1,45.14,korea,North American Lager,,고알코올 발효 공법과 아로마 호프가 맥주의 맛을 더욱 깊고 풍부하게 해줍니다.,
_casslemon.png, 카스 레몬,Cass Lemon,3.9,-1,-1,26,korea,North American Lager,,천연레몬과즙을 함유해 맥주의 깨끗하고 상쾌한 맛을 더욱 살렸습니다.,
_cassbeats.png, 카스 비츠,Cass Beats,5.8,-1,-1,37,korea,Pale Larger,,트위스트 캡을 사용하여 병따개 없이도 순쉽게 병을 오픈 할 수 있도록 고안하였습니다.,
_premiereobpilsner.png, 프리미어 OB 필스너,Premiere OB Pilsner,5.2,-1,-1,23,korea,Pilsner - German,,프리미어 OB는 100% 맥아와 노블홉으로 필스너 맥주 본연의 깊고 풍부한 맛을 구현한 대한민국 정통 필스너 맥주입니다.,
_premiereobweizen.png, 프리미어 OB 바이젠,Premiere OB Weizen,5,-1,-1,54,korea,Hefeweizen,,독일 정통 리얼 맥주 'premier OB'가 선보이는 첫 번째 브루마스터 셀렉션. 1366년부터 시작된 세계에서 가장 큰 맥주 회사인 ABI의 베테랑 양조 장인이 빚어낸 프리미엄 맥주 컬렉션입니다.,
_premiereobdunkel.png, 프리미어 OB 둔켈,Premiere OB Dunkel,5,-1,-1,47,korea,Dunkelweizen,,바이젠에 이은 두 번째 프리미어 OB 브루마스터 셀렉션. 풍부한 향과 부드러운 목넘김이 특징이 라거타입의 흑맥주입니다.,
_cafri.png, 카프리,Cafri,4.2,-1,-1,29.09,korea,North American Lager,,프리미엄 아로마 호프와 청정지역 맥아를 엄선하여 카프리만의 깨끗하고 부드러운 맛을 살려 산뜻한 기분과 맥주의 상쾌함을 동시에 느낄 수 있는 프리미엄 맥주입니다.,
_kloud.png, 클라우드,Kloud,5,-1,-1,39.5,korea,Malt Beer,,물을 타지 않는 맥주. 독일 정통 제조 방식인 오리지널 그래비티 공법을 적용하였습니다.,
